ip,location,intelligence
18.219.5.43,"Hilliard, Ohio, United States",Recognized for involvement in DDoS attacks
18.218.115.60,"Hilliard, Ohio, United States",Source of spam emails
18.219.211.138,"Hilliard, Ohio, United States",Known for SSH brute-force attacks
172.31.69.15,"None, None, None",
18.218.229.235,"Hilliard, Ohio, United States",Involved in botnet communication
172.31.69.17,"None, None, None",
172.31.69.9,"None, None, None",
172.31.0.2,"None, None, None",
172.31.69.25,"None, None, None",
18.217.165.70,"Hilliard, Ohio, United States",Flagged for suspicious DNS requests
18.218.55.126,"Hilliard, Ohio, United States",Source of repeated brute-force attempts
18.221.219.4,"Hilliard, Ohio, United States",Malicious activity linked to malware distribution
13.59.126.31,"Hilliard, Ohio, United States",Involved in phishing campaigns
172.31.69.8,"None, None, None",
18.219.9.1,"Hilliard, Ohio, United States",IP flagged in multiple attack patterns
172.31.69.28,"None, None, None",
13.58.98.64,"Hilliard, Ohio, United States",Source of spam email activity
18.219.193.20,"Hilliard, Ohio, United States",SSH brute-force activity observed
18.216.24.42,"Hilliard, Ohio, United States",Recognized as part of a DDoS botnet
18.219.32.43,"Hilliard, Ohio, United States",Part of a DDoS attack
18.218.11.51,"Hilliard, Ohio, United States",Phishing email source
52.14.136.135,"Hilliard, Ohio, United States",Botnet communication detected
172.31.69.14,"None, None, None",
172.31.69.13,"None, None, None",
18.216.200.189,"Hilliard, Ohio, United States",IP flagged for SSH brute-force attempts
